,Area,Year,rainfall,Temperature,Area Code,Citrus Production(hg/ha),Pesticide quantity,Qte azote(N),Qte Engrais phosphatés,Qte potasse K2O
0,Afghanistan,1991,42.236691111111114,14.478165555555556,2,70657,0.0,5.33,0.72,0.0
128,Afghanistan,1992,37.21077888888888,13.893306666666668,2,66977,0.0,4.84,0.86,0.0
256,Afghanistan,1993,29.68903333333333,14.773843333333335,2,68619,0.0,5.04,0.0,0.0
384,Afghanistan,1994,30.157219999999995,14.71550111111111,2,69209,0.0,5.04,0.0,0.0
512,Afghanistan,1995,27.26077444444445,14.812504444444444,2,69721,0.0,5.04,0.0,0.0
640,Afghanistan,1996,32.208937777777784,14.5975,2,70160,0.0,0.64,0.0,0.0
768,Afghanistan,1997,28.612785555555554,14.691532222222225,2,70533,0.0,0.64,0.0,0.0
896,Afghanistan,1998,38.214061111111114,14.955888888888893,2,70841,0.0,0.76,0.13,0.0
1024,Afghanistan,1999,27.47205888888889,15.767012222222226,2,71000,0.0,0.64,0.0,0.0
1152,Afghanistan,2000,15.69318666666667,15.649665555555556,2,71245,0.0,0.64,0.0,0.0
1280,Afghanistan,2001,14.97838444444445,15.665746666666665,2,71417,0.0,2.37,0.0,0.0
1408,Afghanistan,2002,23.938696666666665,15.66128,2,71477,0.0,3.16,0.0,0.0
1536,Afghanistan,2003,30.465765555555556,15.159368888888887,2,73423,0.0,2.58,0.84,0.0
1664,Afghanistan,2004,20.89520777777778,16.11336,2,78025,0.0,2.82,1.36,0.0
1792,Afghanistan,2005,36.304126666666654,15.014904444444443,2,78230,0.0,2.59,1.16,0.01
1920,Afghanistan,2006,23.119722222222233,16.036467777777773,2,68560,0.0,2.59,0.56,0.0
2048,Afghanistan,2007,28.95648222222223,15.525302222222221,2,72575,0.0,2.07,0.0,0.0
2176,Afghanistan,2008,23.206755555555556,15.50750333333333,2,67500,0.0,1.82,0.0,0.0
2304,Afghanistan,2009,33.95792,15.69395888888889,2,50000,0.0,1.79,0.07,0.0
2432,Afghanistan,2010,28.174967777777766,15.966647777777775,2,33333,0.0,1.63,0.12,0.0
2560,Afghanistan,2011,28.223118888888887,15.87133,2,66667,0.0,2.9,0.87,0.0
2688,Afghanistan,2012,32.52687111111112,14.75889,2,66667,0.0,2.16,0.16,0.02
2816,Afghanistan,2013,31.11322444444444,15.847106666666667,2,69037,0.0,4.41,0.38,0.01
2944,Afghanistan,2014,28.15047,15.59796,2,73556,0.0,9.34,0.65,0.0
3072,Afghanistan,2015,35.85273888888889,15.684066666666665,2,61748,0.0,2.66,1.28,0.0
3200,Afghanistan,2016,30.34364111111111,16.604490000000002,2,84501,0.0,12.22,1.14,0.01
3328,Albania,1991,71.04026666666667,12.286311111111116,3,68750,0.17,31.72,10.95,1.85
3497,Albania,1992,55.52495555555557,12.565883333333336,3,143333,0.17,21.05,12.38,0.0
3666,Albania,1993,52.16906333333333,12.598886666666665,3,133000,0.17,21.68,2.24,1.57
3835,Albania,1994,76.31695555555557,14.048914444444444,3,216667,0.29,18.06,2.98,0.0
4004,Albania,1995,84.42354444444443,12.607118888888884,3,65774,0.36,14.25,1.42,0.0
4173,Albania,1996,84.75521111111111,12.24872111111111,3,66689,0.37,7.83,1.42,0.0
4342,Albania,1997,46.18013333333334,12.621883333333333,3,64191,0.39,6.0,1.43,0.0
4511,Albania,1998,61.57412222222222,13.526038888888884,3,46167,0.41,25.75,9.87,0.14
4680,Albania,1999,73.83124444444444,13.435901111111116,3,45833,0.42,8.3,6.72,0.14
4849,Albania,2000,42.241703333333334,13.517320000000002,3,53170,0.44,17.31,7.01,2.43
5018,Albania,2001,63.84373333333334,13.909277777777774,3,53030,0.46,15.31,9.3,2.15
5187,Albania,2002,75.47618888888887,13.57709888888889,3,68000,0.47,54.67,26.02,0.0
5356,Albania,2003,64.08795555555554,13.364885555555556,3,72013,0.49,53.47,28.65,0.0
5525,Albania,2004,78.5612888888889,12.786163333333333,3,74994,0.51,51.67,31.94,0.16
5694,Albania,2005,72.52857777777778,12.661775555555556,3,74480,0.55,56.47,35.11,0.17
5863,Albania,2006,86.90823333333334,12.971407777777774,3,77068,0.53,43.03,27.85,0.2
6032,Albania,2007,64.90346777777776,14.311943333333335,3,76076,0.56,45.11,27.65,0.47
6201,Albania,2008,68.82139000000001,13.815241111111117,3,79266,0.57,41.24,25.81,0.61
6370,Albania,2009,89.04914444444445,13.683456666666665,3,122892,0.59,48.76,29.96,0.36
6539,Albania,2010,84.81804444444441,13.58129,3,172888,0.85,44.96,31.08,0.43
6708,Albania,2011,53.32873333333333,13.746673333333336,3,208333,0.84,53.01,33.54,0.53
6877,Albania,2012,66.98229111111111,13.800674444444445,3,245573,0.52,50.21,31.85,0.73
7046,Albania,2013,78.78406666666667,14.019723333333335,3,173730,0.65,44.11,32.9,1.14
7215,Albania,2014,96.33261111111112,13.893296666666664,3,198670,0.66,44.13,32.91,1.14
7384,Albania,2015,77.18502,13.999357777777774,3,210307,0.77,52.87,41.27,1.15
7553,Albania,2016,96.4154,14.3749,3,269584,0.83,60.98,49.1,1.14
7722,Algeria,1991,7.042874444444448,24.126222222222214,4,86364,0.91,5.25,3.91,2.56
7896,Algeria,1992,7.330023333333332,23.92273333333333,4,91613,0.48,5.77,3.94,2.25
8070,Algeria,1993,4.6362811111111135,24.30894444444445,4,86350,0.46,9.15,4.32,2.77
8244,Algeria,1994,6.5422633333333335,24.840122222222234,4,90582,0.51,7.27,4.58,3.05
8418,Algeria,1995,5.372982222222222,24.710022222222207,4,79486,0.78,2.29,1.89,1.59
8592,Algeria,1996,9.902897777777778,24.663044444444445,4,85263,0.27,1.74,1.37,1.62
8766,Algeria,1997,6.515575555555557,24.940022222222233,4,86353,0.22,4.41,4.29,3.19
8940,Algeria,1998,5.245528888888889,25.1736,4,100828,0.18,5.38,3.77,4.06
9114,Algeria,1999,6.118614444444442,25.050422222222213,4,110285,0.27,5.74,3.05,2.56
9288,Algeria,2000,3.4276400000000007,25.05482222222223,4,103692,0.31,5.41,3.05,2.81
9462,Algeria,2001,4.313406666666667,25.337522222222226,4,109494,0.35,5.55,4.29,3.06
9636,Algeria,2002,4.257906666666667,24.88863333333333,4,118771,0.38,3.42,2.86,2.59
9810,Algeria,2003,8.179183333333334,25.27928888888889,4,129362,0.42,2.07,0.77,2.62
9984,Algeria,2004,6.877682222222222,24.87036666666667,4,138702,0.45,12.62,6.97,3.07
10158,Algeria,2005,4.7959122222222215,24.94563333333333,4,141238,0.34,0.49,3.89,2.3
10332,Algeria,2006,7.678678888888887,25.201888888888888,4,147157,0.3,5.23,3.79,2.8
10506,Algeria,2007,6.721801111111112,25.1097,4,143927,0.42,4.37,6.24,2.71
10680,Algeria,2008,5.051074444444444,25.08544444444444,4,138528,0.68,2.75,2.47,2.42
10854,Algeria,2009,8.577225555555554,25.13701111111111,4,165817,0.38,4.42,5.81,2.51
11028,Algeria,2010,7.454139999999999,25.692222222222235,4,124169,0.22,7.15,3.9,3.04
11202,Algeria,2011,7.557758888888888,25.35051111111111,4,171507,0.9,6.69,4.33,3.03
11376,Algeria,2012,6.410607777777778,25.015611111111113,4,165425,1.07,8.61,6.82,3.56
11550,Algeria,2013,6.636804444444442,24.87680000000001,4,184821,0.98,7.59,8.45,3.91
11724,Algeria,2014,5.282524444444444,25.39036666666667,4,213340,0.85,9.06,9.24,4.27
11898,Algeria,2015,7.0651366666666675,25.19986666666667,4,222260,0.53,8.79,7.47,4.49
12072,Algeria,2016,4.7083744444444475,25.57121111111111,4,181180,0.49,8.34,6.99,3.17
12246,Angola,1991,64.93303333333334,21.366644444444443,7,52379,0.02,0.67,0.67,0.67
12411,Angola,1992,54.19785777777778,21.564788888888888,7,54959,0.01,0.89,0.86,0.86
12576,Angola,1993,69.29225777777779,21.321544444444445,7,57539,0.05,0.57,0.86,0.86
12741,Angola,1994,55.32158444444442,21.326222222222224,7,60118,0.01,0.57,1.43,0.86
12906,Angola,1995,53.3821,21.842077777777767,7,62698,0.1,0.57,0.86,0.86
13071,Angola,1996,62.43495222222222,21.400566666666666,7,65278,0.01,0.57,0.57,0.57
13236,Angola,1997,74.79047222222222,21.666144444444445,7,65903,0.01,0.57,0.0,0.0
13401,Angola,1998,62.84605444444446,22.371177777777767,7,63752,0.01,0.66,0.0,0.31
13566,Angola,1999,64.36775555555555,21.325311111111112,7,57692,0.01,0.68,0.0,0.32
13731,Angola,2000,70.63471222222222,21.48735555555556,7,57778,0.01,0.42,0.0,0.0
13896,Angola,2001,69.96866222222222,21.83943333333333,7,66899,0.01,0.42,0.0,0.0
14061,Angola,2002,71.08486888888888,22.024266666666666,7,69328,0.01,0.81,0.3,0.41
14226,Angola,2003,60.99688666666668,22.07468888888889,7,71780,0.01,0.5,0.41,0.74
14391,Angola,2004,73.91960111111112,21.63383333333333,7,74626,0.01,2.0,1.01,1.12
14556,Angola,2005,60.29889666666668,22.36033333333333,7,70246,0.01,1.03,0.42,0.63
14721,Angola,2006,73.08314222222221,21.630122222222226,7,77118,0.01,1.85,0.38,1.13
14886,Angola,2007,65.66076,21.66406666666667,7,77819,0.01,1.51,0.65,0.88
15051,Angola,2008,69.75673555555558,21.398333333333333,7,118678,0.01,2.21,1.06,4.33
15216,Angola,2009,73.73298,21.822411111111112,7,119212,0.01,2.44,1.19,1.47
15381,Angola,2010,64.96137,22.12213333333333,7,117753,0.01,3.96,1.97,1.95
15546,Angola,2011,66.68139222222221,21.28894444444445,7,125938,0.01,3.28,3.38,4.62
15711,Angola,2012,74.56949888888889,21.37454444444445,7,72344,0.01,3.89,1.59,2.88
15876,Angola,2013,63.12987555555557,21.52133333333333,7,81024,0.01,3.94,1.82,2.99
16041,Angola,2014,71.32040888888888,21.52272222222221,7,91814,0.01,5.32,1.52,1.91
16206,Angola,2015,58.91892333333333,21.685588888888887,7,99657,0.01,4.91,1.01,1.68
16371,Angola,2016,56.15287666666666,22.04772222222222,7,99524,0.01,4.0,1.26,1.57
16536,Argentina,1991,46.707255555555534,13.704745555555556,9,175167,0.94,3.45,1.97,0.62
16710,Argentina,1992,52.152477777777776,13.162151111111116,9,172677,0.94,5.27,3.01,0.65
16884,Argentina,1993,42.116088888888896,13.458328888888884,9,167683,0.94,6.01,3.81,0.71
17058,Argentina,1994,43.73483333333333,13.965520000000001,9,185909,1.08,10.06,5.49,0.94
17232,Argentina,1995,37.91876666666667,13.092911111111116,9,184657,1.35,11.34,6.49,0.83
17406,Argentina,1996,42.06754444444445,13.331575555555553,9,152068,1.93,18.08,10.87,1.35
17580,Argentina,1997,45.02932222222222,14.007967777777774,9,213162,2.74,16.81,10.68,1.08
17754,Argentina,1998,48.32020000000001,13.392066666666668,9,206998,2.19,14.86,11.28,1.13
17928,Argentina,1999,48.0997,13.196903333333333,9,199825,2.57,16.03,11.92,0.91
18102,Argentina,2000,53.2461888888889,12.896205555555555,9,225204,2.94,17.4,11.66,1.08
18276,Argentina,2001,54.95675555555553,13.51807555555556,9,224394,3.31,17.27,11.64,1.08
18450,Argentina,2002,52.623622222222224,13.17609,9,203694,3.67,18.52,9.93,0.73
18624,Argentina,2003,42.676988888888886,13.686285555555555,9,183047,3.94,24.95,14.18,1.31
18798,Argentina,2004,38.90248888888889,13.749595555555556,9,187404,4.02,25.06,17.8,1.02
18972,Argentina,2005,43.50828888888889,13.316135555555556,9,193431,4.09,18.89,15.14,1.29
19146,Argentina,2006,38.80712222222222,13.76442111111111,9,201929,4.17,21.97,17.25,1.04
19320,Argentina,2007,46.219877777777775,12.684,9,176997,4.99,26.22,20.47,1.26
19494,Argentina,2008,41.12477777777777,13.542714444444444,9,189683,5.61,21.01,12.03,1.2
19668,Argentina,2009,33.80325555555555,13.943130000000002,9,194823,3.97,13.52,8.41,0.4
19842,Argentina,2010,44.4227888888889,13.28009222222222,9,190406,6.05,19.79,17.54,0.85
20016,Argentina,2011,41.13241111111111,13.501425555555556,9,259084,5.55,21.55,18.22,0.9
20190,Argentina,2012,41.31559666666666,13.948661111111116,9,223794,5.31,18.03,14.62,1.03
20364,Argentina,2013,36.35287777777777,13.56318,9,243174,5.21,19.37,14.77,0.95
20538,Argentina,2014,53.46322222222222,13.752865555555555,9,218950,5.17,19.5,13.96,0.86
20712,Argentina,2015,46.76245555555556,14.301495555555556,9,242161,5.07,15.01,10.57,1.02
